Item Code,Description,Category,Type,UOM,Unit Price,Supplier
NEW-020,Paper Bags 130x120x230Mm,Non-food,Direct,Pcs,0.32,Plastic Seal
NEW-021,Paper Bags 225x120x230Mm,Non-food,Direct,Pcs,0.4,Plastic Seal
NEW-022,Paper Cup 4Oz,Non-food,Direct,Pcs,0.1,BORA Green
O000005,Paper Roll,Non-food,Indirect,Roll,0.54,SD Technology
P00004,Paper Roll Sticker,Non-food,Indirect,Roll,1.98,SD Technology
I00023,Passion,Food,Direct,Kg,1.1,Srey Nea
O000013,Plastic Gloove (Black),Non-food,Indirect,BOX,3,ELEPHANT PLASTIC
PC026,Plastic Sauce 1Oz,Non-food,Direct,CTN,17.5,ELEPHANT PLASTIC
PC027,Plastic Sauce 2Oz,Non-food,Direct,CTN,20,ELEPHANT PLASTIC
GEN-015,POS Counter Stand,Non-food,Indirect,Pcs,380,
GEN-022,POS Software License (Annual),Non-food,Indirect,License,600,
GEN-016,POS Terminal/System,Non-food,Indirect,Set,650,
HQ-007,Print ID Card Matte (7x10.5cm),Non-food,Indirect,Unit,3.4,"62 PRINT CO., LTD"
GEN-036,"Promotional Flyer/Poster (Printed, per 100)",Non-food,Indirect,Pack,35,
I00024,Raspberry Tea Syrup,Food,Direct,BTL,12.08,Kofi
GEN-017,Receipt Printer,Non-food,Indirect,Pcs,120,
GEN-057,Refrigerator Compressor (Spare Part),Non-food,Indirect,Pcs,95,
P00013,Rubbish Plastic Big Size,Non-food,Indirect,KG,1.32,ELEPHANT PLASTIC
P00014,Rubbish Plastic Small Size,Non-food,Indirect,BOX,1.32,ELEPHANT PLASTIC
GEN-069,Sandwich Bread (Wholesale),Food,Direct,Loaf,1.2,
GEN-062,Security Alarm System (Per Store),Non-food,Indirect,Set,250,
NEW-023,Shirt-Barista,Non-food,Indirect,Pcs,15,Mayura Tailor Shop
NEW-024,Smart San G-2 5Kg,Non-food,Indirect,Btl,24.92,Community Pharma
GEN-064,Sound System/Speaker (In-store),Non-food,Indirect,Pcs,140,
NEW-025,Soup Cup + Lid Cup 390Ml,Non-food,Direct,CTN,80,ELEPHANT PLASTIC
GEN-061,Staff Training Manual (Printed Set),Non-food,Indirect,Set,15,
GEN-047,"Staff Uniform Apron (Barista, Alt Style)",Non-food,Indirect,Pcs,6.5,
GEN-014,Storage Shelving Unit,Non-food,Indirect,Pcs,150,
I00058,Sweet Coconut,Food,Direct,Pcs,1,Great Partner
GEN-028,Table Number Stand,Non-food,Indirect,Pcs,3.5,
GEN-038,Table Tent/Standee (Marketing Display),Non-food,Indirect,Pcs,6,
NEW-026,Th Milk 950Ml,Food,Direct,Box,1.76,Indugana Cambodia
NEW-028,Thermoplan 4C Coffee Cleansing Tab,Non-food,Indirect,Box,31.26,Kofi
O000007,Thermoplan Coffee Cleansing Tab,Non-food,Indirect,Box,36.49,Kofi
GEN-027,Trash Bags (Roll),Non-food,Indirect,Roll,8,
I00009,Tube Bean,Food,Direct,KG,9.68,Kofi
I00067,Tube Chocolate Powder,Food,Direct,PACK,5.06,Kofi
I00068,Tube Cocoa Powder,Food,Direct,PACK,1.9,Kofi
I00071,Tube Coffee Evaporated Milk,Food,Direct,CAN,0.79,Kofi
I00073,Tube Green Tea,Food,Direct,PACK,7.21,Kofi
NEW-027,Tube Red Tea,Food,Direct,PACK,5.64,Kofi
I00030,Vanilla Base,Food,Direct,PACK,19.34,Kofi
GEN-067,Vanilla Bean Extract,Food,Direct,Btl,9.5,
I00031,Vanilla Syrup,Food,Direct,BTL,12.08,Kofi
GEN-008,Water Glass 8oz,Non-food,Indirect,Pcs,1.8,
GEN-043,Whipped Cream (Canned),Food,Direct,Can,5.2,
PC021,White Clear Fork,Non-food,Direct,CTN,23,ELEPHANT PLASTIC
PC020,White Clear Spoon,Non-food,Direct,CTN,23,ELEPHANT PLASTIC
I00032,White Sugar,Food,Direct,PCS,2.09,Kofi
GEN-019,WiFi Router (Commercial Grade),Non-food,Indirect,Pcs,150,
I00033,Wildberry Syrup,Food,Direct,BTL,12.08,Kofi
GEN-055,Window Decal / Branding Sticker,Non-food,Indirect,Pcs,18,
P00028,Yellow Hot Straw,Non-food,Direct,PACK,1.9,ELEPHANT PLASTIC
I00034,Yellow Lemon,Food,Direct,Kg,3.5,Srey Nea
I00035,Yogurt Powder,Food,Direct,PACK,19.44,Kofi
